start	end	text
0	9120	Hello everybody, welcome to this workshop on Wikidata for the University of Maastricht
9120	17440	on the 15th of October 2024. My name is Olaf, I'm the Wikimedia Coordinator at the National
17440	23560	Library of the Netherlands. And today, for the next two and a half hours, I will guide
23560	33360	this workshop on Wikidata related to professors here at Maastricht University. And this workshop
33360	40540	will be in two parts. It will be first a theoretical introduction where we will look at the basics
40540	49200	of Wikidata, so really the principles and founding guidances of Wikidata. And also in
49200	57440	the theoretical part we will look at how we can use Wikidata in research, science and
57440	63240	cultural heritage. That will be about an hour, so that will be me presenting the theory to
63240	69640	you. And of course, if you have any questions, you can send me an email or we can have a
69640	75800	chat if you would like to know more about that part of Wikidata. Then we have a short
75800	81920	break and after the break there will be a second theoretical part, so where you will actually try
81920	91560	to make your first edits and contributions to Wikidata, themed by data on professors of
91560	96840	Maastricht University. For the second part, there's actually a separate video available which
96840	104560	you will find on the page this video is in. I recorded it also today when it was still daylight.
104720	110400	So if you want to work through that workshop, the practical part of the workshop yourself,
110400	119520	then you can go and check out that video. And the second part is between 75 or 90 minutes,
119520	126520	but for this particular video that I'm recording now, I will actually only do the basics of Wikidata,
126680	137400	so that will be approximately an hour of video you will have had. So let me go on to the opening
137400	143400	slide of this theoretical part. As I said, I'm Olaf Janssen, I'm with the National Library of
143400	150360	the Netherlands. And for the next hour, we will look at the basics of Wikidata. So what Wikidata
150360	155960	is, what are the principles of Wikidata, both from the technical and social point of view,
155960	166840	and with social, I mean the community point of view. And then in the second part of this first
166840	173320	theoretical block, I will show you some case studies on how Wikidata can be relevant for
173320	180840	the domains of research, science and cultural heritage. Perhaps a small introduction about
180840	186280	myself. As I said, I'm with the National Library of the Netherlands, and I'm the Wikimedia
186280	192840	Coordinator of our library. And in that role, which I've been fulfilling for 10 years now,
193560	199640	I try to bring two worlds together. On the one hand, there is the world of the KB with our
199640	204280	collections and our data and our books, of course, and our information and our people.
205240	211800	And on the other hand, there is the world of Wikipedia, for instance, Encyclopedia, but also
211800	219560	projects like Wikidata that we'll discuss today, or the image repository of Wikipedia called
219560	227400	Wikimedia Commons. And the volunteers of creators, or sorry, the communities of creators, mostly
227400	234840	volunteers, that work on these platforms to sustain them and to grow them. In these two worlds,
234840	243000	I try to collaborate them together to mutual benefit. For instance, we as the KB take a lot
243000	250680	of information from Wikipedia, Wikidata, but also make sure that we contribute to Wikidata. And one
250680	257320	of the contributions that we also do, it's not only adding data to Wikidata, but also educating
257320	263960	other heritage institutions and other universities about Wikidata. This is exactly the thing that I'm
263960	270280	doing right now. So I'm sharing my knowledge with you and hopefully the wider Wikimedia community
272200	280760	just for mutual benefit, so to say. All right, so what do I hope that you will have
281480	287160	learned or gained some more understanding of by the end of this afternoon? First of all,
287800	293880	that you have a basic idea of what Wikidata is, how it works, both from the technical perspective,
293880	299880	like the data perspective, and also from the community slash social perspective. So that you
299880	307880	will also have a little insight in how the community around Wikidata is organized.
308840	313640	Because I put it here on purpose, because in many introductory talks about Wikidata,
313640	322520	it only focuses on this real hard data aspect of Wikidata. But for me, the community aspects are
323160	328520	equally important, actually. And actually, I think they're even more important than the technical
328520	333960	aspects of Wikidata. And why I think so, I will discuss later on in this presentation.
334280	343000	Then next, the second learning goal is trying to give you a small insight into how Wikidata can be
343000	351400	relevant for research, science, and cultural heritage. And then lastly, and this is the second
351400	359400	part of the workshop, the practical part, for which a separate video is available also, is trying to
359640	364760	guide you through making your first steps into Wikidata yourself. So doing your first contributions
365640	373640	focused on data of professors here at Maastricht University. So let's start simply by asking
373640	381480	ourselves, what is Wikidata? Well, if you talk with people about Wikidata, you get a wide variety
382200	391320	of answers. But depending on their view on Wikidata and their level of experience with
391320	399640	Wikidata, I think the most basic thing you can explain about Wikidata is that it is a database
400360	408360	containing structured descriptions of all sorts of things. And what kinds of things are,
409160	417320	can you think of, for instance, it as a description, a structured description of the Eiffel Tower,
417320	426040	or this valley in Antarctica, or this hit single by Girlfriend, or this book, or this American judge,
426600	434040	or this airport in the United States, or this gene, or this election in Catalonia,
434600	441560	or this scientific article, or this species of insect, or this composition by Robert Schumann,
441560	448280	or this street in the Netherlands, or this family name, or this quasar in the constellation of
448280	455160	Urza Meyer, or this really nice car, or this really nice metal band, or this international
455160	462840	football association, or this cannabis seed bank in Canada, or this researcher, or this randomly
462840	469160	chosen library from the Netherlands. So you see there are a lot of different things described in
469160	479400	Wikidata. In total, when I last checked it, nearly 114 million distinct things are described in
479400	487800	Wikidata. To give you just a short glimpse of what kind of groups together, like classes,
487800	493160	there are described in Wikidata. It has a lot of scientific articles to start with. This is the
493880	499640	the green pie chart. I will come back to that towards the end of my presentation, why it is
499640	506280	such a big chunk. But also there are roughly some 5 million people, 5 to 6 million people described
506280	513800	in Wikidata, animal and plants, etc. Chemical substances, thousands and thousands of
513800	520520	astronomical objects, genes, really a lot of genes are available in Wikidata, etc.
522520	528680	So Wikidata is both very broad, but it can also be very specific, like it has
529320	535080	currently nearly 900 descriptions of Van Gogh paintings.
536040	544040	If you take all the things in Wikidata that have geographical coordinates, like longitude
544920	550440	and latitude, and you plot them on a map, you get this map, which was last created a year ago.
551320	558120	Basically, this is a map of where people live, because where people live, they tend to describe
559080	565560	their things in their surroundings. And it's typically along the coast. You will see,
565560	575800	for instance, also this kind of map with other data points related to human civilization and
575800	582840	where humans live. Okay, so that was a really brief introduction into Wikidata, really basic.
582840	588440	What I would like to do next in the second part of the talk is to have a look at the principles
588440	599800	that are guiding Wikidata. And those are seven. And let me just start by the first one.
601480	607160	Wikidata contains structured descriptions of things. You can think, for instance, about
607800	614840	Wikipedia. Wikipedia also contains descriptions of things, but those descriptions are free text.
615720	622040	So they are not structured. And what do I mean by structured? It's the following, like there is,
622040	627880	for instance, the Eiffel Tower is described in Wikidata. And you can see here that the Eiffel
627880	634360	Tower is named after Gustave Eiffel. And it is situated in the country of France. And it is the
635320	641080	property of the government of France. And these are structured descriptions. So it's a
642520	649240	thing, the Eiffel Tower, and it has this property, which has a value here. And in this way,
649240	658040	the entire Wikidata item is structured. What you notice here is that this description of the Eiffel
658040	662120	Tower is in English. All the fields that you see here, all these strings and all these
662920	669400	things here, those are all in English. Why that's important, you will find out in a moment.
671320	679560	Then secondly, all these 140 million descriptions are stored in one big central system. At least
679560	684520	for the user, that is the experience. Behind the scenes, I think there will be multiple databases
